UDI,Machine ID,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
163,M003,L47342,L,298.3,308.1,1586,35.5,0,0,No Failure
164,M003,M15023,M,298.4,308.2,1468,43.8,2,0,No Failure
165,M003,M15024,M,298.5,308.3,1440,43.6,5,0,No Failure
166,M003,L47345,L,298.5,308.4,1733,26,8,0,No Failure
167,M003,H29580,H,298.4,308.2,1612,32.6,10,0,No Failure
168,M003,H29581,H,298.4,308.3,1458,42.9,15,0,No Failure
169,M003,L47348,L,298.4,308.3,1433,62.3,20,1,Power Failure
170,M003,L47349,L,298.4,308.3,1318,59.1,22,0,No Failure
171,M003,M15030,M,298.4,308.2,1610,35,24,0,No Failure
172,M003,L47351,L,298.2,308.1,1462,50.8,27,0,No Failure
173,M003,M15032,M,298.1,308,1924,20.8,29,0,No Failure
174,M003,M15033,M,298.2,308,1591,33.7,32,0,No Failure
175,M003,L47354,L,298.2,308.1,1306,58.3,35,0,No Failure
176,M003,L47355,L,298.2,308.1,1382,43.5,37,0,No Failure
177,M003,L47356,L,298.2,308.1,1618,34.7,39,0,No Failure
178,M003,L47357,L,298.2,308.2,1988,21.4,41,0,No Failure
179,M003,L47358,L,298.2,308.2,1436,50.2,43,0,No Failure
180,M003,L47359,L,298.2,308.3,1304,49.8,45,0,No Failure
181,M003,L47360,L,298.2,308.3,1475,49.9,47,0,No Failure
182,M003,H29595,H,298.2,308.3,1824,24.2,49,0,No Failure
183,M003,M15042,M,298.1,308.2,1342,48.1,54,0,No Failure
184,M003,L47363,L,298.1,308.2,1485,40.7,57,0,No Failure
185,M003,L47364,L,298.2,308.2,1667,30.6,59,0,No Failure
186,M003,L47365,L,298.2,308.2,1446,38.2,61,0,No Failure
187,M003,L47366,L,298.1,308.3,1301,56,63,0,No Failure
188,M003,L47367,L,298.2,308.4,1379,43.1,65,0,No Failure
189,M003,L47368,L,298.3,308.5,1606,33.6,67,0,No Failure
190,M003,M15049,M,298.3,308.4,1539,43.4,69,0,No Failure
191,M003,L47370,L,298.2,308.4,1477,49.9,72,0,No Failure
192,M003,L47371,L,298.2,308.4,1666,34.6,74,0,No Failure
193,M003,H29606,H,298.2,308.4,1398,51.8,76,0,No Failure
194,M003,H29607,H,298.2,308.4,1678,34.6,81,0,No Failure
195,M003,M15054,M,298.2,308.5,2678,10.7,86,1,Power Failure
196,M003,L47375,L,298.3,308.5,1453,42.9,89,0,No Failure
197,M003,H29610,H,298.3,308.6,1432,49.5,91,0,No Failure
198,M003,M15057,M,298.4,308.6,1527,40.9,96,0,No Failure
199,M003,L47378,L,298.4,308.7,1588,35,99,0,No Failure
200,M003,L47379,L,298.4,308.6,1433,47.1,101,0,No Failure
201,M003,L47380,L,298.4,308.6,1609,35,103,0,No Failure
202,M003,L47381,L,298.3,308.5,1575,41.2,105,0,No Failure
203,M003,M15062,M,298.4,308.5,1636,35.7,107,0,No Failure
204,M003,L47383,L,298.4,308.5,1490,37.9,110,0,No Failure
205,M003,L47384,L,298.4,308.5,1741,32.8,112,0,No Failure
206,M003,M15065,M,298.5,308.6,1344,53,114,0,No Failure
207,M003,L47386,L,298.5,308.7,1609,35.3,117,0,No Failure
208,M003,M15067,M,298.4,308.7,1421,60.7,119,1,Power Failure
209,M003,L47388,L,298.4,308.6,1591,36.7,122,0,No Failure
210,M003,L47389,L,298.4,308.6,1477,44,124,0,No Failure
211,M003,L47390,L,298.4,308.7,1523,36.1,126,0,No Failure
212,M003,L47391,L,298.5,308.7,1575,33.9,128,0,No Failure
213,M003,H29626,H,298.4,308.7,1344,52.9,130,0,No Failure
214,M003,L47393,L,298.4,308.7,1386,44.9,135,0,No Failure
215,M003,M15074,M,298.3,308.6,1589,37.1,137,0,No Failure
216,M003,L47395,L,298.3,308.6,1548,40.3,140,0,No Failure
217,M003,L47396,L,298.3,308.6,1499,38.3,142,0,No Failure
218,M003,L47397,L,298.3,308.5,1664,31.6,144,0,No Failure
219,M003,L47398,L,298.3,308.6,1447,38.1,146,0,No Failure
220,M003,M15079,M,298.3,308.5,1434,46.2,148,0,No Failure
221,M003,L47400,L,298.3,308.5,1416,52.7,151,0,No Failure
222,M003,H29635,H,298.4,308.5,1827,24.3,153,0,No Failure
223,M003,L47402,L,298.4,308.6,1304,45,158,0,No Failure
224,M003,L47403,L,298.4,308.6,1569,34.4,160,0,No Failure
225,M003,L47404,L,298.3,308.6,1584,29.3,162,0,No Failure
226,M003,L47405,L,298.3,308.5,1362,53.8,164,0,No Failure
227,M003,L47406,L,298.3,308.4,1329,49.2,166,0,No Failure
228,M003,L47407,L,298.3,308.5,1539,36.1,168,0,No Failure
229,M003,M15088,M,298.3,308.5,1629,37.1,170,0,No Failure
230,M003,L47409,L,298.3,308.5,1538,32.2,173,0,No Failure
231,M003,L47410,L,298.3,308.6,1570,34.8,175,0,No Failure
232,M003,L47411,L,298.3,308.4,1408,43.1,177,0,No Failure
233,M003,L47412,L,298.2,308.4,1424,47.6,179,0,No Failure
234,M003,L47413,L,298.2,308.4,1512,34.9,181,0,No Failure
235,M003,L47414,L,298.2,308.4,1478,42.9,183,0,No Failure
236,M003,M15095,M,298.1,308.3,1680,33.7,185,0,No Failure
237,M003,L47416,L,298.1,308.3,1495,38.7,188,0,No Failure
238,M003,M15097,M,298,308.1,1552,36.6,190,0,No Failure
239,M003,L47418,L,297.9,308.1,1393,50.3,193,0,No Failure
240,M003,L47419,L,298,308.2,1611,30.6,195,0,No Failure
241,M003,M15100,M,298,308.1,1339,51.6,197,0,No Failure
242,M003,L47421,L,298,308.1,1777,24.3,200,0,No Failure
243,M003,L47422,L,298,308.2,1348,58.8,202,1,Overstrain Failure
244,M003,L47423,L,298,308.2,1442,44.1,204,0,No Failure
245,M003,M15104,M,298,308.2,1395,49.1,206,0,No Failure
246,M003,M15105,M,297.9,308.1,1627,31.4,209,0,No Failure
247,M003,L47426,L,297.9,308.1,1585,33.5,212,0,No Failure
248,M003,L47427,L,298,308.2,1469,45.5,214,0,No Failure
